MONTH,TOTALSALES,MOVINGAVERAGE
2012-08-12,4492,3270.500
2012-08-14,6541,5516.500
2012-08-15,2049,4295.000
2012-08-16,6935,4492.000
2012-08-17,8984,7959.500
2012-08-18,4492,6738.000
2012-08-19,2049,3270.500
2012-08-20,2443,2246.000
2012-08-21,6935,4689.000
2012-08-23,4492,5713.500
2012-08-24,6935,5713.500
2012-08-25,2443,4689.000
2012-08-29,2443,2443.000
2012-09-01,6541,4492.000
2012-09-04,2049,4295.000
2012-09-05,2049,2049.000
2012-09-06,2443,2246.000
2012-09-07,2049,2246.000
2012-09-08,4098,3073.500
2012-09-09,4098,4098.000
2012-09-10,2443,3270.500
2012-09-12,2049,2246.000
2012-09-13,4492,3270.500
2012-09-14,4098,4295.000
2012-09-16,2049,3073.500
2012-09-19,2049,2049.000
2012-09-24,11033,6541.000
2012-09-26,2049,6541.000
2012-09-27,2049,2049.000
2012-10-01,2049,2049.000
2012-10-03,2049,2049.000
2012-10-06,2049,2049.000
2012-10-07,6147,4098.000
2012-10-08,6541,6344.000
2012-10-09,2443,4492.000
2012-10-10,6541,4492.000
2012-10-11,2443,4492.000
2012-10-12,2443,2443.000
2012-10-14,4492,3467.500
2012-10-15,4098,4295.000
2012-10-16,2049,3073.500
2012-10-17,2049,2049.000
2012-10-19,2443,2246.000
2012-10-22,4492,3467.500
2012-10-27,2443,3467.500
2012-10-29,2049,2246.000
2012-10-31,6541,4295.000
2012-11-02,4098,5319.500
2012-11-03,2049,3073.500
2012-11-04,2049,2049.000
2012-11-07,4098,3073.500
2012-11-08,2443,3270.500
2012-11-10,2049,2246.000
2012-11-11,2049,2049.000
2012-11-12,2049,2049.000
2012-11-15,4492,3270.500
2012-11-17,2443,3467.500
2012-11-18,4098,3270.500
2012-11-19,2049,3073.500
2012-11-20,4492,3270.500
2012-11-22,4492,4492.000
2012-11-23,6147,5319.500
2012-11-24,4492,5319.500
2012-11-25,2443,3467.500
2012-11-26,6935,4689.000
2012-11-27,6935,6935.000
2012-11-28,4886,5910.500
2012-12-01,4098,4492.000
2012-12-04,2443,3270.500
2012-12-05,6541,4492.000
2012-12-07,2049,4295.000
2012-12-08,2049,2049.000
2012-12-09,2049,2049.000
2012-12-15,2443,2246.000
2012-12-16,2049,2246.000
2012-12-17,4492,3270.500
2012-12-18,4098,4295.000
2012-12-19,2443,3270.500
2012-12-20,2443,2443.000
2012-12-21,4492,3467.500
2012-12-22,2443,3467.500
2012-12-23,2049,2246.000
2012-12-24,8590,5319.500
2012-12-27,2049,5319.500
2012-12-28,2860,2454.500
2012-12-29,4615,3737.500
2012-12-30,4778,4696.500
2012-12-31,2320,3549.000
2013-01-01,7058,4689.000
2013-01-02,769,3913.500
2013-01-04,4763,2766.000
2013-01-05,5180,4971.500
2013-01-06,2320,3750.000
2013-01-07,2835,2577.500
2013-01-09,4639,3737.000
2013-01-10,7206,5922.500
2013-01-11,2320,4763.000
2013-01-12,2320,2320.000
2013-01-13,7623,4971.500
2013-01-16,4617,6120.000
2013-01-18,12617,8617.000
2013-01-19,6935,9776.000
2013-01-20,2447,4691.000
2013-01-21,2344,2395.500
2013-01-22,2344,2344.000
2013-01-24,2,1173.000
2013-01-25,7108,3555.000
2013-01-26,6960,7034.000
2013-01-27,2320,4640.000
2013-01-28,2862,2591.000
2013-01-29,3660,3261.000
2013-01-30,797,2228.500
2013-01-31,3520,2158.500
2013-02-01,6,1763.000
2013-02-02,5762,2884.000
2013-02-03,4766,5264.000
2013-02-04,6,2386.000
2013-02-05,1324,665.000
2013-02-06,544,934.000
2013-02-07,2449,1496.500
2013-02-08,61,1255.000
2013-02-09,3141,1601.000
2013-02-10,104,1622.500
2013-02-11,546,325.000
2013-02-12,4754,2650.000
2013-02-13,56,2405.000
2013-02-14,4815,2435.500
2013-02-15,2326,3570.500
2013-02-16,2301,2313.500
2013-02-17,2,1151.500
2013-02-18,2445,1223.500
2013-02-19,3415,2930.000
2013-02-20,4624,4019.500
2013-02-21,2839,3731.500
2013-02-22,564,1701.500
2013-02-23,4,284.000
2013-02-24,2297,1150.500
2013-02-25,6,1151.500
2013-02-27,58,32.000
2013-02-28,78,68.000
2013-03-01,6571,3324.500
2013-03-02,7087,6829.000
2013-03-03,6,3546.500
2013-03-04,7525,3765.500
2013-03-05,2322,4923.500
2013-03-06,3654,2988.000
2013-03-07,4,1829.000
2013-03-08,6975,3489.500
2013-03-09,3793,5384.000
2013-03-10,2,1897.500
2013-03-11,8303,4152.500
2013-03-12,11619,9961.000
2013-03-13,3516,7567.500
2013-03-14,2348,2932.000
2013-03-15,6,1177.000
2013-03-16,4,5.000
2013-03-18,7089,3546.500
2013-03-19,1217,4153.000
2013-03-20,1891,1554.000
2013-03-21,2332,2111.500
