SALEDATE,SALESTERRITORY,DAILYAVERAGESALES
2011-01-17,Australia,2559.000000
2011-01-17,Germany,3578.000000
2011-01-18,Australia,3578.000000
2011-01-18,France,3578.000000
2011-01-19,Australia,3489.000000
2011-01-19,France,3578.000000
2011-01-19,Germany,3400.000000
2011-01-19,Northwest,3387.500000
2011-01-19,Southwest,3578.000000
2011-01-19,United Kingdom,3375.000000
2011-01-20,Australia,3578.000000
2011-01-20,France,699.000000
2011-01-20,Southwest,3578.000000
2011-01-21,Canada,3578.000000
2011-01-21,France,3578.000000
2011-01-21,United Kingdom,3578.000000
2011-01-22,Australia,3578.000000
2011-01-22,Canada,3578.000000
2011-01-22,Northwest,699.000000
2011-01-22,United Kingdom,3578.000000
2011-01-23,Australia,3459.333333
2011-01-23,France,3578.000000
2011-01-23,Germany,3578.000000
2011-01-24,Australia,3542.400000
2011-01-24,France,3375.000000
2011-01-24,Northwest,3375.000000
2011-01-24,Southwest,3578.000000
2011-01-25,Australia,2550.666667
2011-01-25,Northwest,699.000000
2011-01-25,Southwest,3578.000000
2011-01-25,United Kingdom,699.000000
2011-01-26,Australia,3476.500000
2011-01-26,Northwest,3578.000000
2011-01-26,Southwest,3578.000000
2011-01-26,United Kingdom,3578.000000
2011-01-27,Australia,3375.000000
2011-01-27,Canada,2550.666667
2011-01-27,France,3375.000000
2011-01-28,Australia,3578.000000
2011-01-28,France,699.000000
2011-01-28,Germany,3578.000000
2011-01-28,Northwest,3578.000000
2011-01-28,Southwest,3578.000000
2011-01-29,Australia,3578.000000
2011-01-29,Canada,3578.000000
2011-01-29,France,3578.000000
2011-01-29,Germany,3578.000000
2011-01-29,Southwest,3578.000000
2011-01-30,Australia,3578.000000
2011-01-30,France,3578.000000
2011-01-30,Southwest,3578.000000
2011-01-31,Australia,2807.500000
2011-02-01,Australia,3459.333333
2011-02-01,Germany,3578.000000
2011-02-01,Southwest,3578.000000
2011-02-02,Australia,2858.250000
2011-02-02,Southwest,3578.000000
2011-02-02,United Kingdom,699.000000
2011-02-03,Australia,3518.666667
2011-02-03,Southwest,699.000000
2011-02-03,United Kingdom,3578.000000
2011-02-04,Australia,3578.000000
2011-02-04,Southwest,3578.000000
2011-02-05,Australia,3400.000000
2011-02-05,United Kingdom,2618.333333
2011-02-06,Australia,3442.666667
2011-02-06,Southwest,3578.000000
2011-02-07,Australia,3482.750000
2011-02-07,Southwest,3578.000000
2011-02-08,Australia,3578.000000
2011-02-08,Northwest,3578.000000
2011-02-08,Southwest,3578.000000
2011-02-09,Australia,3578.000000
2011-02-09,Canada,3578.000000
2011-02-09,Germany,3578.000000
2011-02-09,Southwest,3578.000000
2011-02-09,United Kingdom,3578.000000
2011-02-10,Australia,2550.666667
2011-02-10,Northwest,2138.500000
2011-02-11,Germany,3578.000000
2011-02-11,Northwest,3578.000000
2011-02-11,Southwest,3578.000000
2011-02-12,Australia,3578.000000
2011-02-12,Northwest,3400.000000
2011-02-12,Southwest,3578.000000
2011-02-12,United Kingdom,3400.000000
2011-02-14,Australia,3578.000000
2011-02-15,Australia,3375.000000
2011-02-15,Canada,3578.000000
2011-02-15,Northwest,3578.000000
2011-02-15,Southwest,3578.000000
2011-02-16,Australia,2138.500000
2011-02-16,Canada,699.000000
2011-02-16,Germany,699.000000
2011-02-16,Southwest,2858.250000
2011-02-17,Australia,3476.500000
2011-02-17,Germany,3578.000000
2011-02-17,Northwest,3578.000000
2011-02-17,United Kingdom,3578.000000
2011-02-18,Australia,3510.333333
2011-02-18,Northwest,3476.500000
2011-02-18,Southwest,3578.000000
2011-02-18,United Kingdom,3476.500000
2011-02-19,Australia,3578.000000
2011-02-19,Canada,3476.500000
2011-02-20,Australia,3476.500000
2011-02-20,Canada,3578.000000
2011-02-21,Australia,3002.200000
2011-02-21,France,3578.000000
2011-02-21,Southwest,3400.000000
2011-02-21,United Kingdom,3489.000000
2011-02-22,Australia,3476.500000
2011-02-22,France,699.000000
2011-02-23,Australia,3578.000000
2011-02-23,France,3400.000000
2011-02-23,Northwest,3578.000000
2011-02-23,Southwest,3400.000000
2011-02-23,United Kingdom,3578.000000
2011-02-24,Australia,3578.000000
2011-02-24,Germany,3578.000000
2011-02-25,Australia,3578.000000
2011-02-25,United Kingdom,3578.000000
2011-02-26,Australia,2550.666667
2011-02-26,Germany,2858.250000
2011-02-26,Northwest,699.000000
2011-02-27,Australia,3578.000000
2011-02-27,Canada,3578.000000
2011-02-27,Northwest,3578.000000
2011-02-27,Southwest,3489.000000
2011-02-27,United Kingdom,3400.000000
2011-02-28,Australia,3510.333333
2011-02-28,Canada,3375.000000
2011-02-28,France,3375.000000
2011-02-28,Germany,3578.000000
2011-03-01,Australia,3578.000000
2011-03-01,Canada,3578.000000
2011-03-01,Southwest,3578.000000
2011-03-01,United Kingdom,3578.000000
2011-03-02,Australia,3578.000000
2011-03-02,Canada,3578.000000
2011-03-02,France,3578.000000
2011-03-02,Germany,3578.000000
2011-03-02,Southwest,3578.000000
2011-03-02,United Kingdom,3578.000000
2011-03-03,Australia,2618.333333
2011-03-03,Southwest,3578.000000
2011-03-04,Australia,3578.000000
2011-03-04,Northwest,3489.000000
2011-03-04,Southwest,3578.000000
2011-03-04,United Kingdom,3400.000000
2011-03-05,Germany,3578.000000
2011-03-05,Northwest,3578.000000
2011-03-05,Southwest,3578.000000
2011-03-06,Australia,3578.000000
2011-03-06,Northwest,699.000000
2011-03-06,Southwest,3578.000000
2011-03-06,United Kingdom,3578.000000
2011-03-07,France,3578.000000
2011-03-07,Northwest,3578.000000
2011-03-07,Southwest,2618.333333
2011-03-08,Australia,3578.000000
2011-03-08,United Kingdom,3578.000000
2011-03-09,Australia,3518.666667
2011-03-09,France,3578.000000
2011-03-09,Northwest,3375.000000
2011-03-09,Southwest,3578.000000
2011-03-09,United Kingdom,3375.000000
2011-03-10,Australia,3578.000000
2011-03-10,Southwest,3578.000000
2011-03-12,Australia,3578.000000
2011-03-12,Southwest,3400.000000
2011-03-13,Australia,3476.500000
2011-03-13,United Kingdom,699.000000
2011-03-14,Australia,3578.000000
2011-03-14,Germany,3578.000000
2011-03-14,Southwest,3578.000000
2011-03-15,Australia,3578.000000
2011-03-15,Southwest,3578.000000
2011-03-16,Australia,3578.000000
2011-03-16,France,3578.000000
2011-03-16,Southwest,2618.333333
2011-03-17,Australia,3578.000000
2011-03-17,Southwest,3489.000000
2011-03-17,United Kingdom,3400.000000
2011-03-18,Australia,3578.000000
2011-03-18,Southwest,3578.000000
2011-03-18,United Kingdom,3578.000000
2011-03-19,Australia,3518.666667
2011-03-19,Canada,3578.000000
2011-03-19,Germany,3578.000000
2011-03-19,Northwest,3578.000000
2011-03-19,Southwest,699.000000
2011-03-20,Southwest,3578.000000
2011-03-20,United Kingdom,3578.000000
2011-03-21,Australia,3578.000000
2011-03-21,France,2550.666667
2011-03-21,Northwest,3400.000000
2011-03-21,United Kingdom,2049.500000
2011-03-22,Australia,3578.000000
2011-03-22,Canada,3578.000000
2011-03-22,Northwest,3578.000000
2011-03-22,Southwest,3578.000000
2011-03-22,United Kingdom,3578.000000
2011-03-23,Australia,2618.333333
2011-03-23,France,3578.000000
2011-03-23,Germany,3578.000000
2011-03-23,Northwest,3578.000000
2011-03-23,Southwest,3578.000000
2011-03-24,Australia,3578.000000
2011-03-24,France,3578.000000
2011-03-25,Southwest,3578.000000
2011-03-25,United Kingdom,3578.000000
2011-03-26,Australia,3578.000000
2011-03-26,Northwest,3578.000000
2011-03-26,Southwest,2138.500000
2011-03-26,United Kingdom,3578.000000
2011-03-27,Australia,2138.500000
2011-03-27,Canada,3578.000000
2011-03-27,France,3578.000000
2011-03-27,Germany,3578.000000
2011-03-27,Northwest,3578.000000
2011-03-27,United Kingdom,699.000000
2011-03-28,Germany,699.000000
2011-03-28,United Kingdom,3578.000000
2011-03-29,Southwest,699.000000
2011-03-30,Australia,3578.000000
2011-03-30,France,3578.000000
2011-03-30,Southwest,3578.000000
2011-03-30,United Kingdom,3578.000000
2011-03-31,Australia,3400.000000
2011-03-31,France,699.000000
2011-03-31,Northwest,3578.000000
2011-03-31,United Kingdom,3578.000000
2011-04-01,Australia,3476.500000
2011-04-01,France,3578.000000
2011-04-02,Australia,3578.000000
2011-04-02,Southwest,3578.000000
2011-04-03,Australia,3578.000000
2011-04-03,Northwest,3578.000000
2011-04-04,Australia,3527.250000
2011-04-04,Northwest,3400.000000
2011-04-04,Southwest,3578.000000
