GENDER,EDUCATION,OCCUPATION,YEARLYINCOME,TOTAL_REVENUE
M,Partial College,Professional,110000,73993
F,Graduate Degree,Management,60000,73919
M,Bachelors,Management,120000,72766
M,Graduate Degree,Management,80000,71240
F,High School,Manual,30000,69836
F,Partial High School,Skilled Manual,60000,67604
F,Bachelors,Management,170000,66313
F,High School,Skilled Manual,70000,66059
M,High School,Management,90000,62687
F,Partial High School,Skilled Manual,70000,62363
M,Partial High School,Clerical,20000,61607
M,Partial College,Management,110000,60340
F,Partial High School,Clerical,20000,59755
M,High School,Management,130000,58622
M,High School,Professional,40000,57703
F,High School,Professional,80000,57385
M,Graduate Degree,Management,120000,57240
F,Partial High School,Professional,110000,56643
F,Graduate Degree,Management,50000,55535
F,Partial College,Professional,40000,55304
F,Partial College,Management,110000,55286
F,Graduate Degree,Management,120000,54826
F,High School,Professional,40000,54296
M,Bachelors,Skilled Manual,70000,54179
F,Graduate Degree,Skilled Manual,40000,54029
M,Partial High School,Professional,110000,54004
M,Graduate Degree,Management,170000,53748
M,Partial High School,Skilled Manual,70000,52321
M,Partial High School,Skilled Manual,60000,48252
M,Graduate Degree,Skilled Manual,80000,46655
F,Bachelors,Management,150000,45846
M,Partial College,Professional,40000,43732
M,Bachelors,Management,150000,42228
F,Graduate Degree,Clerical,20000,42129
M,Bachelors,Professional,100000,40321
F,Partial High School,Professional,100000,39990
F,Partial High School,Clerical,30000,39379
M,High School,Professional,80000,39206
M,Graduate Degree,Manual,10000,38653
F,High School,Skilled Manual,20000,38547
M,High School,Professional,130000,37276
F,Partial High School,Skilled Manual,80000,36993
M,Graduate Degree,Clerical,20000,36478
M,Partial High School,Skilled Manual,80000,36377
M,Bachelors,Skilled Manual,80000,36051
F,High School,Clerical,30000,35780
M,High School,Professional,160000,35701
F,Partial College,Professional,150000,35411
M,Bachelors,Manual,10000,34660
M,Partial High School,Clerical,40000,34600
F,High School,Professional,150000,34102
M,Partial High School,Clerical,30000,33426
M,High School,Clerical,30000,32885
M,Bachelors,Management,160000,32412
F,Partial College,Professional,170000,32149
F,Graduate Degree,Skilled Manual,80000,31087
F,Bachelors,Management,160000,30897
M,Partial High School,Professional,100000,30775
M,Graduate Degree,Skilled Manual,40000,30714
M,Partial College,Professional,120000,30347
M,Partial College,Skilled Manual,50000,30080
M,Graduate Degree,Management,50000,29347
F,Bachelors,Professional,100000,29027
F,High School,Management,90000,28848
F,Partial College,Professional,120000,28657
M,Partial College,Professional,150000,28101
M,High School,Management,80000,28061
F,Graduate Degree,Management,170000,27690
F,Graduate Degree,Manual,10000,27566
M,High School,Skilled Manual,20000,27552
F,Partial College,Professional,160000,26347
F,Graduate Degree,Skilled Manual,70000,25922
F,Partial High School,Clerical,10000,24318
F,Bachelors,Management,50000,22938
M,Partial College,Skilled Manual,30000,22502
M,Graduate Degree,Management,150000,22470
M,Graduate Degree,Management,160000,22122
F,Partial College,Skilled Manual,50000,22117
F,High School,Management,130000,21506
F,High School,Professional,100000,21492
F,Bachelors,Manual,10000,21319
M,Partial College,Management,100000,21016
M,High School,Professional,30000,20830
M,Partial High School,Clerical,10000,20761
M,Partial College,Manual,30000,19905
F,Partial High School,Skilled Manual,40000,18595
F,High School,Professional,130000,18520
M,Partial High School,Skilled Manual,40000,18485
F,Partial High School,Clerical,40000,17975
F,Partial College,Skilled Manual,30000,17446
M,High School,Skilled Manual,10000,17264
M,High School,Professional,100000,16041
M,High School,Management,170000,15548
F,Partial College,Management,100000,14457
M,High School,Professional,50000,13423
M,Partial High School,Professional,170000,12199
M,High School,Management,160000,11689
M,Partial High School,Skilled Manual,30000,11570
M,High School,Professional,170000,11256
F,Partial High School,Management,120000,10297
F,Graduate Degree,Management,160000,10203
M,Graduate Degree,Skilled Manual,70000,10175
F,Bachelors,Manual,20000,9893
F,High School,Professional,50000,9405
M,Partial College,Professional,160000,9170
F,High School,Professional,170000,8879
F,High School,Skilled Manual,10000,8657
F,High School,Management,170000,8494
M,Partial High School,Professional,150000,8388
M,Partial High School,Management,120000,8135
F,High School,Professional,30000,8026
M,High School,Skilled Manual,50000,7603
M,High School,Management,150000,7322
M,Partial College,Skilled Manual,20000,7084
F,Partial High School,Skilled Manual,30000,7024
M,Partial High School,Professional,160000,6987
M,Partial High School,Professional,70000,6967
F,High School,Management,160000,6963
F,Graduate Degree,Manual,20000,6926
M,Partial High School,Management,110000,6768
M,Partial College,Management,130000,6750
F,High School,Professional,160000,6322
M,Bachelors,Professional,150000,6018
F,High School,Management,80000,5252
M,Partial College,Management,160000,4981
F,Bachelors,Clerical,10000,4979
F,Partial College,Skilled Manual,20000,4589
F,Graduate Degree,Skilled Manual,30000,4528
F,Graduate Degree,Clerical,10000,4516
F,Partial College,Management,160000,4467
F,Partial High School,Management,110000,4404
F,Partial High School,Skilled Manual,90000,4000
F,Partial High School,Management,130000,3909
M,Graduate Degree,Professional,90000,3595
M,Partial High School,Skilled Manual,90000,3441
M,Bachelors,Manual,20000,3366
M,Bachelors,Clerical,10000,3350
F,Partial College,Management,170000,3260
M,Bachelors,Professional,130000,3230
M,Graduate Degree,Skilled Manual,30000,3152
M,Partial College,Management,170000,3098
M,Bachelors,Management,50000,2649
F,Partial High School,Professional,160000,2516
F,Graduate Degree,Management,150000,2489
M,Partial High School,Skilled Manual,50000,2419
M,Partial High School,Management,130000,2348
M,Graduate Degree,Professional,110000,2320
M,High School,Professional,150000,2062
F,Partial High School,Skilled Manual,50000,2049
F,Partial College,Skilled Manual,90000,1886
F,Bachelors,Professional,30000,792
M,Partial College,Skilled Manual,90000,725
M,High School,Management,120000,700
F,High School,Management,120000,583
F,Partial High School,Professional,170000,554
F,Partial College,Management,120000,415
F,Partial High School,Professional,130000,335
F,Partial College,Clerical,20000,274
F,High School,Skilled Manual,50000,253
M,Graduate Degree,Clerical,10000,226
F,Partial High School,Management,160000,217
M,Graduate Degree,Manual,20000,189
M,Partial High School,Professional,130000,180
F,Partial College,Management,150000,175
M,Partial College,Management,120000,142
F,Partial College,Manual,30000,132
M,Partial College,Professional,170000,116
M,Partial High School,Management,160000,111
F,Partial High School,Professional,150000,110
F,Graduate Degree,Professional,130000,95
M,Partial High School,Management,150000,90
F,High School,Management,150000,88
M,Graduate Degree,Professional,130000,79
M,Graduate Degree,Professional,50000,74
F,Graduate Degree,Professional,50000,60
M,Bachelors,Professional,50000,40
F,Bachelors,Professional,130000,32
M,Partial College,Clerical,20000,12
M,Partial College,Management,150000,10
