RESELLERNAME,SALESTERRITORYREGION,TOTAL_SALES
Immense Manufacturing Company,Central,181062
Elite Bikes,Southwest,179836
Stock Parts and Supplies,Northwest,178062
Journey Sporting Goods,Southwest,175504
Convenient Sales and Service,Northwest,173235
Finer Parts Shop,Northwest,172230
Petroleum Products Distributors,Canada,169215
Unified Sports Company,Southeast,165817
Honest Repair Service,Northwest,163852
Outdoor Sports Supply,Northwest,162311
Travel Sports,Northwest,161112
Global Plaza,Southeast,158899
Traditional Department Stores,Northeast,158171
Exhibition Showroom,United Kingdom,156965
Industrial Supplies,Southeast,154823
Sports Sales and Rental,Southeast,154353
Functional Store South,Germany,153764
National Manufacturing,Canada,153405
Raw Materials Inc,Northwest,153314
Trusted Catalog Store,Southeast,151333
Metro Bike Mart,Southeast,149122
Rich Department Store,Australia,148992
Capable Sales and Service,Northwest,148839
Year-Round Sports,Northwest,148663
Authorized Bike Sales and Rental,Northwest,148583
Roadway Bike Emporium,Northwest,148097
Ultimate Bicycle Company,France,147967
Utilitarian Sporting Goods,Northwest,147883
Bike Experts,Northwest,147787
Steel Inc.,France,147560
Sports Merchandise,Northwest,147421
Executive Gift Store,Northeast,146265
Leading Sales & Repair,Central,146240
Gears and Parts Company,Australia,145407
Budget Toy Store,Australia,145387
Bold Bike Accessories,Central,144737
Mercantile Outlet,Canada,144601
Work and Play Association,Central,144114
Grand Industries,Canada,141941
Downhill Bicycle Specialists,United Kingdom,141834
Sparkling Paint and Finishes,Southwest,140877
Valley Bicycle Specialists,Central,140136
First Cycle Store,Southwest,138874
Vast Bike Sales and Rental,Northwest,138846
Go-cart and Bike Specialists,Southwest,138418
Qualified Sales and Repair Services,Southeast,137725
Pretty Bikes and Toys,France,132840
Rodeway Bike Store,Germany,132145
Classic Cycle Store,Northeast,131721
Safe Toys,Southwest,131603
Next-Door Bike Store,Southeast,131109
Front Sporting Goods,Northwest,130950
Worthwhile Activity Store,Southeast,130594
Consolidated Messenger,Canada,128384
Fourth Bike Store,Northeast,126686
Up-To-Date Sports,Canada,125794
Designated Distributors,Canada,125361
Guaranteed Sales and Service,Northeast,124963
Ultimate Bike Shop,Southeast,122361
Underglaze and Finish Company,Southeast,120645
Elemental Sporting Goods,Southeast,120347
Closest Bicycle Store,United Kingdom,117493
Educational Services,Germany,117328
"Fabrikam Inc., East",Germany,116555
Helmets and Cycles,Australia,116295
Kickstands and Accessories Company,Northwest,115531
Cycle Parts and Accessories,Australia,115085
Retail Sporting Equipment,Southwest,114295
Fitness Supplies,Northwest,112896
Professional Sales and Service,Southwest,112888
Blue-Ribbon Bike Company,Southeast,112649
Exchange Parts Inc.,Southeast,112443
Neighborhood Store,Canada,112268
Central Discount Store,Northwest,109761
Some Discount Store,Northwest,109075
Painters Bicycle Specialists,Northeast,107595
Eighth Bike Store,Southwest,107109
Mountain Bike Store,Northeast,106970
Helpful Sales and Repair Service,Australia,106752
Popular Bike Lines,Australia,105585
Bike Part Wholesalers,Australia,105514
The Bike Outlet,France,105386
Cycles Wholesaler & Mfg.,United Kingdom,103281
Quick Parts and Service,Canada,102224
Non-Slip Pedal Company,Canada,101867
Solid Bike Parts,Southwest,101202
General Associates,Southeast,100998
Remarkable Bike Store,Northwest,100495
Metro Sports Equipment,France,99970
Fasteners & Bolts Outlet,Canada,98366
Variety Cycling,United Kingdom,97173
Moderately-Priced Bikes Store,Northwest,95321
Fun Toys and Bikes,Southwest,95229
Bike World,Southwest,94535
Modern Bike Store,Northeast,94369
Greater Bike Store,Canada,94368
Metal Clearing House,Canada,91875
Weekend Tours,Northeast,90763
Superb Sales and Repair,Canada,88718
Rural Mountain Bike Mart,France,88448
Wire Baskets and Parts,Southwest,88308
Active Transport Inc.,Northeast,88241
District Mall,Central,87488
Clamps & Brackets Co.,Southeast,87270
Sample Bike Store,Central,87198
Principal Bike Company,Southwest,86198
Metropolitan Sports Supply,Southwest,86183
Official Parts Shop,Northwest,85646
A Bike Store,Northwest,85174
A Typical Bike Shop,Southwest,83455
Sunny Place Bikes,Southeast,83358
Big-Time Bike Store,Southwest,83295
Small Cycle Store,Central,82851
Grand Sport Boutique,Central,82134
Daring Rides,Southeast,81833
Unique Bikes,Central,81370
Suburban Cycle Shop,Northwest,78539
Yellow Bicycle Company,Central,77468
Bike Rims Company,Southeast,76462
Reliable Brake Systems,Southeast,72697
Wholesale Parts,Canada,71256
Exotic Bikes,Northeast,70894
Cross-Country Riding Supplies,Canada,69150
Highway Bike Shop,Southwest,68494
Small Bike Accessories Shop,Northeast,68432
The Bike Mechanics,Northeast,67942
Fast Bike Works,Australia,67407
Manufacturers Inc,Southeast,66267
Two-Wheeled Transit Company,Canada,66195
Cycles Sales and Repair,France,66125
Metal Processing Company,Canada,65148
Price-Cutter Discount Bikes,Canada,64704
Oils and Fluids Warehouse,United Kingdom,62380
Sixth Bike Store,Canada,61809
South Bike Company,Canada,61697
Stationary Bikes and Stands,Southwest,61623
Liquidation Sales,Australia,61619
Cycling Goods,United Kingdom,60930
One Bike Company,Canada,60761
General Bike Corporation,Canada,60431
Distant Inn,Southwest,60121
Gasless Cycle Shop,Canada,59956
Finer Cycle Shop,Canada,59327
List Price Catalog Company,Australia,59065
